# --------------------------------------------------------------------,,,,,
# USE OF NOAA GML DATA,,,,,
#,,,,,
# These data are made freely available to the public and the scientific,,,,,
# community in the belief that their wide dissemination will lead to,,,,,
# greater understanding and new scientific insights. To ensure that GML,,,,,
# receives fair credit for their work please include relevant citation,,,,,
# text in publications. We encourage users to contact the data providers,,,,,
# who can provide detailed information about the measurements and,,,,,
# scientific insight.  In cases where the data are central to a,,,,,
# publication, coauthorship for data providers may be appropriate.,,,,
#,,,,,
#,,,,,
#,,,,,
# Contact:  Xin Lan (xin.lan@noaa.gov),,,,,
#,,,,,
# File Creation: Fri Mar 14 08:56:21 2025,,,,,
#,,,,,
#,,,,,
# --------------------------------------------------------------------,,,,,
#,,,,,
#,,,,,
# See gml.noaa.gov/ccgg/trends/ for additional details.,,,,,
#,,,,,
#,,,,,
# Uncertainties in the global monthly means are estimated using two,,,,,
# terms: The first is a bootstrap (resampling) method that varies the,,,,,
# sites in our network. Each pseudo-network contains the same number of,,,,,
# sites as our actual NOAA ESRL cooperative global air sampling network,,,,,
# but some are repeated and some are excluded. The second term is a,,,,,
# Monte Carlo method that randomly modifies the data to account for,,,,,
# measurement uncertainty. In both cases, 100 globally-averaged time,,,,
# series are created. Standard deviations of the monthly means are,,,,,
# calculated, and the two terms (network and analytical) are taken in,,,,
# quadrature to give the  reported uncertainties. A default value (-9.9),,,,,
# indicates the uncertainty has not yet been calculated for that month.,,,,,
# Please see Dlugokencky et al.,1994,, vol. 99, 17021-17043, for a
# complete discussion.,,,,,
#,,,,,
# CH4 expressed as a mole fraction in dry air, nanomol/mol,,,,
#,,,,,
# NOTE: In general, the data presented for the last year are subject to change,,,,
# depending on recalibration of the reference gas mixtures used, and other quality,,,,
# control procedures. Occasionally, earlier years may also change for the same,,,,
# reasons.  Usually these changes are minor.,,,,,
year,month,average,average_unc,trend,trend_unc
1993,3,1735.39,0.99,1735.14,0.46
1993,4,1736.58,0.86,1735.28,0.46
1993,5,1735,0.78,1735.49,0.45
1993,6,1730.89,0.88,1735.78,0.45
1993,7,1728.01,0.98,1736.15,0.45
1993,8,1731.14,0.86,1736.58,0.46
1993,9,1738.45,0.86,1737.06,0.47
1993,10,1743.38,0.88,1737.57,0.49
1993,11,1745.22,0.71,1738.12,0.51
1993,12,1744.29,0.93,1738.68,0.53
1994,1,1741.42,0.95,1739.27,0.54
1994,2,1740.89,1.01,1739.84,0.55
1994,3,1741.96,0.85,1740.42,0.56
1994,4,1741.93,0.67,1741.02,0.56
1994,5,1740.64,0.99,1741.63,0.55
1994,6,1736.9,1.27,1742.24,0.55
1994,7,1732.39,1.11,1742.86,0.54
1994,8,1734.06,1.01,1743.5,0.53
1994,9,1742.89,0.76,1744.12,0.53
1994,10,1749.76,0.75,1744.74,0.53
1994,11,1751.23,0.95,1745.35,0.53
1994,12,1751.61,1,1745.94,0.54
1995,1,1751.12,1.14,1746.51,0.54
1995,2,1749.51,1.08,1747.03,0.55
1995,3,1749,0.7,1747.51,0.55
1995,4,1749.42,0.75,1747.96,0.55
1995,5,1747.65,1.01,1748.36,0.54
1995,6,1742.84,0.99,1748.71,0.53
1995,7,1740.16,0.88,1749.01,0.52
1995,8,1743.58,1.09,1749.28,0.5
1995,9,1749.77,1.11,1749.49,0.49
1995,10,1754.34,0.9,1749.68,0.49
1995,11,1755.51,0.97,1749.85,0.49
1995,12,1753.86,1.02,1750.01,0.51
1996,1,1752.23,1.03,1750.17,0.53
1996,2,1752.75,1.08,1750.32,0.56
1996,3,1752.22,0.92,1750.49,0.59
1996,4,1749.59,1.06,1750.67,0.62
1996,5,1748.3,1.12,1750.87,0.64
1996,6,1746.05,0.94,1751.07,0.66
1996,7,1742.05,0.94,1751.29,0.67
1996,8,1744.29,1.17,1751.52,0.67
1996,9,1752.64,1.23,1751.75,0.66
1996,10,1758.89,0.92,1751.98,0.64
1996,11,1760.04,0.85,1752.21,0.61
1996,12,1756.92,0.77,1752.44,0.58
1997,1,1753.38,0.95,1752.68,0.53
1997,2,1753.86,1.14,1752.92,0.48
1997,3,1755.68,0.87,1753.17,0.44
1997,4,1755.53,0.95,1753.46,0.4
1997,5,1753.8,0.71,1753.8,0.36
1997,6,1750.09,0.87,1754.2,0.34
1997,7,1746.04,0.93,1754.67,0.33
1997,8,1747.75,0.89,1755.23,0.34
1997,9,1754.98,0.87,1755.87,0.36
1997,10,1760.28,0.74,1756.62,0.39
1997,11,1761.71,0.93,1757.46,0.42
1997,12,1761.89,0.79,1758.4,0.45
1998,1,1761.44,0.87,1759.44,0.48
1998,2,1761.44,1.36,1760.49,0.5
1998,3,1762.95,1.47,1761.6,0.52
1998,4,1764.69,0.95,1762.77,0.54
1998,5,1764.24,0.75,1763.96,0.55
1998,6,1760.33,0.7,1765.13,0.56
1998,7,1756.15,1,1766.26,0.57
1998,8,1760.19,0.99,1767.34,0.59
1998,9,1770.67,1.42,1768.33,0.6
1998,10,1776.23,1.39,1769.23,0.61
1998,11,1775.48,0.96,1770.03,0.62
1998,12,1774.04,0.76,1770.71,0.62
1999,1,1773.79,0.98,1771.3,0.62
1999,2,1773.9,1.38,1771.77,0.62
1999,3,1774.58,1.11,1772.14,0.61
1999,4,1774.95,0.75,1772.45,0.6
1999,5,1772.66,0.84,1772.68,0.58
1999,6,1767.35,0.79,1772.86,0.57
1999,7,1762.94,0.82,1772.99,0.56
1999,8,1764.62,0.84,1773.09,0.56
1999,9,1771.01,0.83,1773.17,0.57
1999,10,1776.61,0.88,1773.22,0.58
1999,11,1778.55,0.79,1773.26,0.6
1999,12,1777.24,0.77,1773.29,0.62
2000,1,1775.53,1.12,1773.31,0.65
2000,2,1775.45,1.49,1773.3,0.67
2000,3,1776.5,1.46,1773.28,0.68
2000,4,1777.2,1.24,1773.24,0.69
2000,5,1774.57,1.16,1773.17,0.7
2000,6,1768.14,1.11,1773.08,0.7
2000,7,1763.46,0.89,1772.96,0.69
2000,8,1765.45,1.07,1772.81,0.69
2000,9,1772.05,1.1,1772.64,0.68
2000,10,1777.09,0.86,1772.46,0.66
2000,11,1777.73,0.94,1772.26,0.65
2000,12,1775.32,1.22,1772.07,0.64
2001,1,1772.87,0.93,1771.87,0.62
2001,2,1772.53,0.84,1771.69,0.6
2001,3,1773.66,0.94,1771.53,0.59
2001,4,1773.87,0.67,1771.39,0.57
2001,5,1770.87,0.65,1771.27,0.55
2001,6,1766.11,0.87,1771.18,0.53
2001,7,1763.02,0.98,1771.12,0.52
2001,8,1764.51,0.94,1771.09,0.5
2001,9,1770.45,0.93,1771.1,0.48
2001,10,1775.48,0.82,1771.12,0.46
2001,11,1776.57,0.69,1771.17,0.45
2001,12,1775.93,1.08,1771.24,0.44
2002,1,1774.09,1.37,1771.34,0.43
2002,2,1772.82,1.05,1771.44,0.43
2002,3,1773.41,0.56,1771.57,0.43
2002,4,1772.74,0.75,1771.72,0.45
2002,5,1770.3,0.74,1771.9,0.47
2002,6,1766.91,0.85,1772.1,0.49
2002,7,1764.21,0.95,1772.34,0.51
2002,8,1766.85,0.99,1772.63,0.53
2002,9,1773.67,1.01,1772.96,0.55
2002,10,1778.25,1.45,1773.33,0.56
2002,11,1779.5,1.17,1773.75,0.56
2002,12,1779.65,0.67,1774.22,0.55
2003,1,1777.53,1.11,1774.74,0.54
2003,2,1774.83,1.06,1775.26,0.53
2003,3,1774.85,0.85,1775.81,0.52
2003,4,1775.8,1.54,1776.39,0.51
2003,5,1774.45,1.23,1776.96,0.51
2003,6,1771.69,1.23,1777.5,0.52
2003,7,1770.7,1.83,1778.01,0.53
2003,8,1774.3,1.73,1778.45,0.55
2003,9,1780.56,1.26,1778.81,0.57
2003,10,1784.68,1,1779.08,0.59
2003,11,1785.28,1.05,1779.24,0.6
2003,12,1783.53,1.11,1779.28,0.61
2004,1,1780.68,1.14,1779.21,0.61
2004,2,1779.67,0.96,1779.03,0.61
2004,3,1780.95,0.95,1778.75,0.6
2004,4,1780.86,0.83,1778.38,0.59
2004,5,1777.62,0.97,1777.93,0.58
2004,6,1772.26,1.09,1777.43,0.58
2004,7,1768.03,0.82,1776.91,0.57
2004,8,1769.8,0.97,1776.37,0.57
2004,9,1775.54,1.08,1775.86,0.57
2004,10,1779.76,1.03,1775.4,0.57
2004,11,1780.5,1.05,1775,0.57
2004,12,1778.26,0.92,1774.66,0.57
2005,1,1776.14,1.17,1774.41,0.56
2005,2,1775.75,1.03,1774.25,0.55
2005,3,1775.59,0.9,1774.17,0.55
2005,4,1774.78,0.8,1774.15,0.54
2005,5,1772.51,0.72,1774.2,0.54
2005,6,1768.81,0.98,1774.29,0.54
2005,7,1766.4,0.83,1774.4,0.55
2005,8,1768.16,0.89,1774.53,0.55
2005,9,1773.24,1.21,1774.65,0.55
2005,10,1778.58,1.43,1774.74,0.55
2005,11,1781.25,0.75,1774.81,0.54
2005,12,1780.26,1.25,1774.84,0.53
2006,1,1779.51,0.94,1774.83,0.51
2006,2,1779.48,0.78,1774.81,0.49
2006,3,1777.4,0.81,1774.77,0.48
2006,4,1776.11,0.64,1774.73,0.47
2006,5,1774.91,0.93,1774.71,0.46
2006,6,1769.24,1.34,1774.72,0.47
2006,7,1764.16,1.26,1774.79,0.48
2006,8,1767.24,1.2,1774.94,0.49
2006,9,1774.59,1.38,1775.17,0.51
2006,10,1778.24,0.88,1775.49,0.53
2006,11,1779.04,0.78,1775.9,0.55
2006,12,1779.92,0.82,1776.4,0.57
2007,1,1779.2,1.07,1776.99,0.58
2007,2,1778.6,1.16,1777.61,0.59
2007,3,1780.25,1.01,1778.29,0.59
2007,4,1781.11,1.13,1779.01,0.59
2007,5,1779.48,1.48,1779.75,0.59
2007,6,1775.62,1.24,1780.49,0.59
2007,7,1772.58,1.11,1781.21,0.58
2007,8,1777.19,1.43,1781.91,0.58
2007,9,1785.88,1.41,1782.56,0.58
2007,10,1789.85,1.07,1783.17,0.58
2007,11,1789.54,0.91,1783.74,0.59
2007,12,1788.19,0.98,1784.28,0.59
2008,1,1786.69,0.93,1784.81,0.6
2008,2,1785.81,1.04,1785.3,0.6
2008,3,1786.18,1.36,1785.79,0.6
2008,4,1786.88,1.24,1786.29,0.6
2008,5,1785.2,0.97,1786.8,0.59
2008,6,1780.47,0.87,1787.33,0.57
2008,7,1777.64,0.97,1787.88,0.55
2008,8,1781.05,0.96,1788.46,0.53
2008,9,1787.66,0.99,1789.04,0.5
2008,10,1793.67,0.74,1789.62,0.48
2008,11,1797.31,1.08,1790.21,0.46
2008,12,1796.6,0.98,1790.78,0.45
2009,1,1795.07,0.76,1791.34,0.46
2009,2,1795.6,1.06,1791.85,0.49
2009,3,1795.95,1.05,1792.33,0.52
2009,4,1795.54,0.88,1792.79,0.55
2009,5,1792.39,0.75,1793.21,0.59
2009,6,1786.95,0.89,1793.6,0.63
2009,7,1785.02,1.09,1793.96,0.66
2009,8,1788.91,0.97,1794.3,0.67
2009,9,1794.83,1.31,1794.62,0.68
2009,10,1798,1.59,1794.94,0.67
2009,11,1797.87,0.96,1795.26,0.65
2009,12,1796.67,0.84,1795.59,0.63
2010,1,1797.11,1.17,1795.94,0.6
2010,2,1798.78,1.37,1796.29,0.57
2010,3,1799.47,1.23,1796.65,0.55
2010,4,1799.58,0.99,1797.05,0.55
2010,5,1797.62,1.3,1797.47,0.56
2010,6,1792.48,1.4,1797.91,0.58
2010,7,1789.43,1.04,1798.35,0.61
2010,8,1794.1,1.01,1798.81,0.63
2010,9,1801.87,1.01,1799.27,0.66
2010,10,1806.6,1.1,1799.73,0.67
2010,11,1807,1.15,1800.18,0.68
2010,12,1803.28,0.96,1800.63,0.67
2011,1,1800.03,0.93,1801.08,0.65
2011,2,1800.04,0.84,1801.5,0.63
2011,3,1801.03,0.67,1801.91,0.61
2011,4,1802.81,0.87,1802.33,0.59
2011,5,1803.15,1.01,1802.75,0.58
2011,6,1799.09,0.76,1803.16,0.58
2011,7,1796.14,0.95,1803.57,0.58
2011,8,1799.05,1.03,1803.99,0.6
2011,9,1804.24,1.57,1804.4,0.62
2011,10,1809.69,1.6,1804.82,0.64
2011,11,1812.35,1.25,1805.24,0.65
2011,12,1810.03,1.14,1805.67,0.67
2012,1,1807.4,0.89,1806.11,0.67
2012,2,1808.37,1.18,1806.54,0.68
2012,3,1810.07,0.87,1806.98,0.67
2012,4,1808.48,0.62,1807.42,0.66
2012,5,1804.77,1.38,1807.87,0.65
2012,6,1801.01,1.31,1808.31,0.64
2012,7,1799.37,1.13,1808.74,0.62
2012,8,1803.3,1.13,1809.17,0.6
2012,9,1810.16,1.28,1809.58,0.59
2012,10,1814.84,0.98,1809.97,0.57
2012,11,1815.95,1.17,1810.34,0.56
2012,12,1814.59,0.87,1810.7,0.56
2013,1,1814.05,0.9,1811.05,0.56
2013,2,1814.15,1.42,1811.37,0.56
2013,3,1813.26,1.15,1811.68,0.57
2013,4,1812.82,0.75,1812.01,0.57
2013,5,1811.94,0.85,1812.35,0.58
2013,6,1808.62,1.17,1812.72,0.58
2013,7,1805.99,1.51,1813.12,0.58
2013,8,1808.53,1.13,1813.58,0.58
2013,9,1814.26,0.89,1814.1,0.57
2013,10,1818.51,0.63,1814.69,0.57
2013,11,1820.34,0.7,1815.35,0.57
2013,12,1819.35,0.87,1816.1,0.57
2014,1,1816.8,0.97,1816.94,0.57
2014,2,1816.32,1.03,1817.82,0.58
2014,3,1818.09,1.05,1818.77,0.58
2014,4,1820.87,0.82,1819.81,0.58
2014,5,1821.88,0.94,1820.9,0.58
2014,6,1818.31,0.91,1822.03,0.59
2014,7,1815.52,1.15,1823.17,0.58
2014,8,1819.69,1.23,1824.34,0.57
2014,9,1826.82,1.07,1825.47,0.56
2014,10,1831.18,0.62,1826.59,0.55
2014,11,1833.02,0.59,1827.68,0.54
2014,12,1833.54,0.85,1828.72,0.52
2015,1,1833.08,0.93,1829.74,0.5
2015,2,1832.93,0.82,1830.68,0.49
2015,3,1833.22,0.67,1831.57,0.47
2015,4,1833.17,1.1,1832.47,0.46
2015,5,1831.54,1.06,1833.33,0.45
2015,6,1827.14,0.85,1834.16,0.45
2015,7,1824.6,0.99,1834.98,0.46
2015,8,1829,1.05,1835.79,0.47
2015,9,1836.24,1.05,1836.58,0.49
2015,10,1841.5,0.99,1837.36,0.52
2015,11,1844.61,1.17,1838.12,0.54
2015,12,1844.77,1.12,1838.88,0.57
2016,1,1842.43,0.96,1839.63,0.6
2016,2,1841.65,1.23,1840.33,0.62
2016,3,1843.02,0.93,1841.01,0.64
2016,4,1843.74,0.71,1841.68,0.66
2016,5,1842.13,0.97,1842.32,0.66
2016,6,1837.84,1.25,1842.93,0.67
2016,7,1834.16,1.17,1843.51,0.67
2016,8,1836.69,1.21,1844.07,0.66
2016,9,1844.18,1.36,1844.6,0.65
2016,10,1849.87,1.2,1845.11,0.64
2016,11,1851.44,1.24,1845.6,0.63
2016,12,1851.05,0.96,1846.08,0.62
2017,1,1849.68,0.85,1846.57,0.6
2017,2,1848.4,1.06,1847.04,0.59
2017,3,1848.19,1.22,1847.51,0.58
2017,4,1848.53,1.31,1848.02,0.57
2017,5,1847.14,0.82,1848.54,0.57
2017,6,1842.94,0.92,1849.09,0.57
2017,7,1840.39,1.48,1849.65,0.58
2017,8,1844.64,1.28,1850.25,0.59
2017,9,1852.75,1.01,1850.87,0.61
2017,10,1858.01,1.02,1851.51,0.63
2017,11,1858.52,0.88,1852.18,0.65
2017,12,1856.51,0.93,1852.86,0.67
2018,1,1854.43,0.94,1853.57,0.7
2018,2,1854.98,0.78,1854.27,0.72
2018,3,1856.88,0.77,1854.98,0.74
2018,4,1856.69,0.93,1855.71,0.75
2018,5,1854.82,1.48,1856.46,0.76
2018,6,1852.03,1.53,1857.21,0.77
2018,7,1849.09,1.7,1857.95,0.77
2018,8,1851.92,1.84,1858.71,0.76
2018,9,1860.48,0.92,1859.44,0.76
2018,10,1865.76,1.02,1860.17,0.74
2018,11,1866.27,1.04,1860.89,0.73
2018,12,1866.03,0.97,1861.61,0.71
2019,1,1864.98,1.05,1862.33,0.68
2019,2,1865.03,0.92,1863.01,0.65
2019,3,1866.33,0.92,1863.7,0.63
2019,4,1865.31,0.57,1864.41,0.61
2019,5,1861.98,1.17,1865.14,0.58
2019,6,1858.79,1.37,1865.88,0.56
2019,7,1858.23,1.43,1866.65,0.54
2019,8,1862.9,1.43,1867.46,0.53
2019,9,1870.78,1.14,1868.3,0.52
2019,10,1875.42,1.17,1869.18,0.52
2019,11,1875.61,0.95,1870.1,0.53
2019,12,1874.62,0.75,1871.06,0.55
2020,1,1872.9,1.06,1872.09,0.57
2020,2,1872.29,0.98,1873.13,0.59
2020,3,1874.4,0.74,1874.21,0.6
2020,4,1875.79,1.53,1875.34,0.62
2020,5,1874.41,1.32,1876.52,0.62
2020,6,1871.99,1.08,1877.73,0.62
2020,7,1871.47,1.16,1878.98,0.62
2020,8,1876.39,1.14,1880.27,0.61
2020,9,1884.56,1.07,1881.58,0.59
2020,10,1889.96,0.9,1882.91,0.57
2020,11,1891.44,0.7,1884.27,0.55
2020,12,1890.96,0.88,1885.66,0.53
2021,1,1888.59,1.27,1887.1,0.52
2021,2,1886.65,0.97,1888.49,0.5
2021,3,1888.01,0.91,1889.9,0.49
2021,4,1890.78,0.61,1891.38,0.48
2021,5,1891.27,0.72,1892.88,0.47
2021,6,1888.09,0.72,1894.39,0.46
2021,7,1885.98,0.73,1895.9,0.47
2021,8,1892.31,1.22,1897.44,0.47
2021,9,1902.44,1.31,1898.94,0.49
2021,10,1907.9,0.88,1900.43,0.51
2021,11,1909.2,1.23,1901.89,0.54
2021,12,1907.95,0.84,1903.32,0.58
2022,1,1906.31,0.9,1904.73,0.62
2022,2,1906.41,1.14,1906.04,0.66
2022,3,1907.79,1.26,1907.29,0.7
2022,4,1908.83,0.89,1908.54,0.73
2022,5,1907.48,1.02,1909.74,0.75
2022,6,1904.85,1.29,1910.89,0.77
2022,7,1904.01,1.58,1911.98,0.77
2022,8,1908.32,1.7,1913.04,0.76
2022,9,1915.06,1.4,1914.04,0.74
2022,10,1919.43,1.34,1914.99,0.71
2022,11,1922.09,1.01,1915.91,0.66
2022,12,1921.99,1.24,1916.78,0.61
2023,1,1919.97,1.37,1917.63,0.55
2023,2,1918.93,1.01,1918.41,0.5
2023,3,1918.75,0.78,1919.16,0.47
2023,4,1920.06,0.86,1919.9,0.44
2023,5,1919.72,0.53,1920.63,0.43
2023,6,1915.46,1.05,1921.33,0.44
2023,7,1913.18,1.04,1922.01,0.46
2023,8,1917.09,1.16,1922.69,0.49
2023,9,1924.92,1.08,1923.35,0.53
2023,10,1930.59,1.17,1924.01,0.56
2023,11,1931.75,0.83,1924.68,0.59
2023,12,1931.12,0.91,1925.37,0.62
2024,1,1928.5,0.81,1926.08,0.63
2024,2,1926.47,-9.99,1926.8,-9.99
2024,3,1928.12,-9.99,1927.55,-9.99
2024,4,1929.45,-9.99,1928.34,-9.99
2024,5,1926.04,-9.99,1929.17,-9.99
2024,6,1921.35,-9.99,1930.03,-9.99
2024,7,1920.59,-9.99,1930.92,-9.99
2024,8,1926.11,-9.99,1931.85,-9.99
2024,9,1935.94,-9.99,1932.78,-9.99
2024,10,1941.81,-9.99,1933.73,-9.99
2024,11,1940.75,-9.99,1934.67,-9.99
